date;region_code;region_name;lat;long;hospitalized_with_symptoms;intensive_care;total_hospitalized;home_isolation;positive_tests;new_positive_tests;discharged;deceased;total_cases;total_tests;;;;;;;;;;;;
03/03/2020;10;Umbria;4.310.675.841;1.238.824.698;1;1;2;6;8;6;0;0;8;45;;;;;;;;;;;;
03/03/2020;2;Valle d'Aosta;4.573.750.286;7.320.149.366;0;0;0;0;0;0;0;0;0;12;;;;;;;;;;;;
03/03/2020;5;Veneto;4.543.490.485;1.233.845.213;49;19;68;229;297;26;7;3;307;10176;;;;;;;;;;;;
04/03/2020;13;Abruzzo;4.235.122.196;1.339.843.823;7;0;7;0;7;1;0;0;7;85;;;;;;;;;;;;
04/03/2020;17;Basilicata;4.063.947.052;1.580.514.834;0;0;0;1;1;0;0;0;1;48;;;;;;;;;;;;
04/03/2020;4;P.A. Bolzano;4.649.933.453;1.135.662.422;1;0;1;0;1;0;0;0;1;20;;;;;;;;;;;;
04/03/2020;18;Calabria;3.890.597.598;1.659.440.194;0;0;0;1;1;0;0;0;1;46;;;;;;;;;;;;
04/03/2020;15;Campania;4.083.956.555;1.425.084.984;11;0;11;20;31;1;0;0;31;429;;;;;;;;;;;;
04/03/2020;8;Emilia Romagna;4.449.436.681;113.417.208;256;26;282;234;516;118;6;22;544;2500;;;;;;;;;;;;
04/03/2020;6;Friuli Venezia Giulia;456.494.354;1.376.813.649;3;0;3;15;18;5;0;0;18;376;;;;;;;;;;;;
04/03/2020;12;Lazio;4.189.277.044;1.248.366.722;15;3;18;9;27;16;3;0;30;995;;;;;;;;;;;;
04/03/2020;7;Liguria;4.441.149.315;89.326.992;10;3;13;8;21;2;4;1;26;133;;;;;;;;;;;;
04/03/2020;3;Lombardia;4.546.679.409;9.190.347.404;877;209;1086;411;1497;171;250;73;1820;12138;;;;;;;;;;;;
04/03/2020;11;Marche;4.361.675.973;135.188.753;34;15;49;31;80;21;0;4;84;288;;;;;;;;;;;;
04/03/2020;14;Molise;4.155.774.754;1.465.916.051;3;0;3;0;3;0;0;0;3;19;;;;;;;;;;;;
04/03/2020;1;Piemonte;450.732.745;7.680.687.483;26;13;39;43;82;26;0;0;82;543;;;;;;;;;;;;
04/03/2020;16;Puglia;4.112.559.576;1.686.736.689;4;0;4;3;7;1;1;1;9;322;;;;;;;;;;;;
04/03/2020;20;Sardegna;3.921.531.192;9.110.616.306;1;0;1;1;2;1;0;0;2;42;;;;;;;;;;;;
04/03/2020;19;Sicilia;3.811.569.725;133.623.567;5;0;5;11;16;11;2;0;18;367;;;;;;;;;;;;
04/03/2020;9;Toscana;4.376.923.077;1.125.588.885;15;2;17;20;37;19;1;0;38;776;;;;;;;;;;;;
04/03/2020;4;P.A. Trento;4.606.893.511;1.112.123.097;1;0;1;4;5;1;0;0;5;122;;;;;;;;;;;;
04/03/2020;10;Umbria;4.310.675.841;1.238.824.698;1;1;2;7;9;1;0;0;9;58;;;;;;;;;;;;
04/03/2020;2;Valle d'Aosta;4.573.750.286;7.320.149.366;0;0;0;0;0;0;0;0;0;15;;;;;;;;;;;;
04/03/2020;5;Veneto;4.543.490.485;1.233.845.213;76;23;99;246;345;48;9;6;360;10515;;;;;;;;;;;;
05/03/2020;13;Abruzzo;4.235.122.196;1.339.843.823;8;0;8;0;8;1;0;0;8;96;;;;;;;;;;;;
05/03/2020;17;Basilicata;4.063.947.052;1.580.514.834;0;0;0;1;1;0;0;0;1;54;;;;;;;;;;;;
05/03/2020;4;P.A. Bolzano;4.649.933.453;1.135.662.422;1;0;1;0;1;0;0;0;1;20;;;;;;;;;;;;
05/03/2020;18;Calabria;3.890.597.598;1.659.440.194;1;0;1;1;2;1;0;0;2;53;;;;;;;;;;;;
